Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amersfoort;KD26;Kiesgerechtigden;;3041
Amersfoort;KD26;Opkomst;;1730
Amersfoort;KD26;AantalStembriefjes;;1730
Amersfoort;KD26;AantalGeldigeStemmen;;1707
Amersfoort;KD26;AantalBlancoStemmen;;13
Amersfoort;KD26;;jhr.mr. M.M.van Asch van Wijck;1298
Amersfoort;KD26;;H.C.van der Houven van Oordt;393
Leeuwarden;KD7;Kiesgerechtigden;;2956
Leeuwarden;KD7;Opkomst;;1436
Leeuwarden;KD7;AantalStembriefjes;;1436
Leeuwarden;KD7;AantalGeldigeStemmen;;1420
Leeuwarden;KD7;AantalBlancoStemmen;;15
Leeuwarden;KD7;;F. Lieftinck;736
Leeuwarden;KD7;;K. Eland;531
Leeuwarden;KD7;;mr. L.G. Verwer;105
