"name","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922"
"Sebastiaan Hendrik Anemaet","Sebastiaan Hendrik Anemaet","00028",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sybrand van Beyma thoe Kingma","Sybrand Willem Hendrik Adriaan Beyma thoe Kingma","00110",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carolus Cornelius Aloysius Beens","Carolus Cornelius Aloysius Beens","00078",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dirk van Akerlaken","Dirk Akerlaken","00009",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willem Adriaan Bergsma","Willem Adriaan Bergsma","00102",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willem Hendrik de Beaufort ","Willem Hendrik Beaufort","00071",0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
"Philippus van Blom","Philippus Blom","00132",0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eilard Jacobus Attema","Eilard Jacobus Attema","00044",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Willem Gustaaf Booreel van Hogelanden","Jacob Willem Gustaaf Boreel van Hogelanden","00164",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Abraham Bouman","Abraham Bouman","00188",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Klaas de Boer Czn.","Klaas Boer","00144",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"Jean Arnoldts","Marie Joseph Goswin Jean Arnoldts","00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Piet Aalberse ","Petrus Josephus Mattheüs Aalberse","00001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Antoine Arts","Antonius Henricus Arnoldus Arts","00034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Warnardus Cornelis Mathildus Begram","Warnardus Cornelis Mathildus Begram","00082",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johannes Baptista Bots","Johannes Baptista Bots","00186",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Hendrik Arnoldts","Jan Hendrik Arnoldts","00031",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titus van Asch van Wijck","Titus Anthony Jacob Asch van Wijck","00042",0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Jan van Alphen","Jan Alphen","00019",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"Bernardus Marie Bahlmann","Bernardus Marie Bahlmann","00057",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"Samuel van den Bergh","Samuel Bergh","00097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hubert van Asch van Wijck","Hubert Willem Asch van Wijck","00039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Willem Dolk","Willem Dolk","00325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Willem Theodorus Cornelis van Doorn","Willem Theodoor Cornelis Doorn","00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Willem Albarda ","Johan Willem Albarda","00011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Gerardus Henri Betz","Gerardus Henri Betz","00105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jouwert Andreae","Jouwert Andreae","00023",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charles Antoine de Bieberstein Rogalla Zawadsky","Charles Antoine Bieberstein Rogalla Zawadsky","00113",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthias Margarethus van Asch van Wijck","Matthias Margarethus Asch van Wijck","00041",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antonius van Baar","Antonius Johannes Hubertus Baar","00049",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Egbertus Johannes Beumer","Egbertus Johannes Beumer","00106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Schelto van Heemstra ","Schelto Heemstra","00542",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"Willem Maurits de Brauw ","Willem Maurits Brauw","00201",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferdinand Hendrik Hubert Borret","Ferdinandus Hendricus Hubertus Borret","00168",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Jacob Leonard de Bruyn Kops","Jacob Leonard Bruijn Kops","00232",0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Age Buma","Age Buma","00239",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Arnoldus Hyacinthus Maria van Berckel","Arnoldus Hyacinthus Maria Berckel","00089",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"Dirk Bos","Dirk Bos","00175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Zadok van den Bergh","Zadok Bergh","00099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Jan Ankerman ","Jan Ankerman","00029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Jouke Bakker","Jouke Annes Bakker","00059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pieter Blussé van Oud-Alblas","Pieter Blussé van Oud-Alblas","00138",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Hubert Alexander Maurits van Asch van Wijck ","Hubert Alexander Maurits Asch van Wijck","00037",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeronimo de Bosch Kemper","Jeronimo Bosch Kemper","00178",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Nicolaas Bastert","Jacob Nicolaas Bastert","00066",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"François de Casembroot","François Casembroot","00255",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
