"","name.x","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922","name.y","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","begin periode","einde periode","year","month","day","re","dugobo","fogobo","duprbo","foprbo","dush","fosh","cash","misc","debt","ta11","tl11","nw11","ta0","tl0","nw0","function","yod","placeofd","yob","aod","polparty","poldir","activityst","activityend","beginyr","endyr","tenure","w_deflated","w_deflated2","harnas2","harnas5"
"1","Sebastiaan Hendrik Anemaet","Sebastiaan Hendrik Anemaet","00028",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sebastiaan Hendrik Anemaet","Anemaet","S.H.","Sebastiaan Hendrik",NA,NA,"m","liberaal;Thorbeckiaan","1840-08-05","1863-01-20","1863","01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Sybrand van Beyma thoe Kingma","Sybrand Willem Hendrik Adriaan Beyma thoe Kingma","00110",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sybrand Willem Hendrik Adriaan Beyma thoe Kingma","Beyma thoe Kingma","S.W.H.A.","Sybrand Willem Hendrik Adriaan",NA,"van","m","'pragmatisch' liberaal;liberaal","1863-11-13","1873-09-14","1873","09","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Carolus Cornelius Aloysius Beens","Carolus Cornelius Aloysius Beens","00078",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carolus Cornelius Aloysius Beens","Beens","C.C.A.","Carolus Cornelius Aloysius",NA,NA,"m","Thorbeckiaan;Puttianen","1852-09-20","1868-01-02","1868","01","02",48189,70053,85972,12000,2951,0,0,8254,8478,-791,117955.03,-726.025,117229.005,117955.03,-726.025,117229.005,"2e kamerlid",1887,"nb",1817,70,"Thorbeckiaan;Puttianen","liberal","20-09-1852","02-01-1868",1852,1868,16,123538.287942457,123538.287942457,0,0
"4","Dirk van Akerlaken","Dirk Akerlaken","00009",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dirk Akerlaken","Akerlaken","D.","Dirk",NA,"van","m","'pragmatisch' liberaal;liberaal","1850-10-07","1874-09-20","1874","09","20",350750,34738,264565,11565,3268,17302.25,2700,27816,23734,0,736355,-5003,731352,736230,-4988,731242,"1e kamerlid, 2e kamerlid",1892,"nh",1815,77,"liberaal","liberal","07-10-1850","17-01-1892",1850,1892,42,838869.458158945,838995.648449434,1,1
"5","Willem Adriaan Bergsma","Willem Adriaan Bergsma","00102",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Willem Adriaan Bergsma","Bergsma","W.A.","Willem Adriaan",NA,NA,"m","liberaal;Kappeynianen","1871-09-18","1884-10-10","1884","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Willem Hendrik de Beaufort ","Willem Hendrik Beaufort","00071",0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,"Willem Hendrik Beaufort","Beaufort","W.H.","Willem Hendrik",NA,"de","m","liberaal;oud- of vrije liberalen;Vrij-Liberalen","1877-04-23","1918-04-01","1918","04","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Philippus van Blom","Philippus Blom","00132",0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Philippus Blom","Blom","Ph.","Philippus",NA,"van","m","'pragmatisch' liberaal;liberaal","1865-03-18","1885-10-22","1885","10","22",77322,0,37904.25,43910,28100,8440,0,2288.3,3405,-32533.87,205447.34,-32533.87,86456.73,101071.89,-16936.05,84135.86,"2e kamerlid",1910,"zh",1824,86,"'pragmatisch' liberaal;liberaal","liberal","18-03-1865","22-10-1885",1865,1885,20,86441.2280953834,88825.6911893571,0,0
"8","Eilard Jacobus Attema","Eilard Jacobus Attema","00044",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Eilard Jacobus Attema","Attema","E.J.","Eilard Jacobus",NA,NA,"m","liberaal","1884-11-17","1885-07-31","1885","07","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jacob Willem Gustaaf Booreel van Hogelanden","Jacob Willem Gustaaf Boreel van Hogelanden","00164",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Jacob Willem Gustaaf Boreel van Hogelanden","Boreel van Hogelanden","J.W.G.","Jacob Willem Gustaaf",NA,NA,"m","Liberale Unie","1888-05-01","1893-05-31","1893","05","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abraham Bouman","Abraham Bouman","00188",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Abraham Bouman","Bouman","A.","Abraham",NA,NA,"m","vooruitstrevende kamerclub;'club-Pyttersen';liberaal","1894-05-16","1901-09-16","1901","09","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
