Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Almelo;KD15;Kiesgerechtigden;;2466
Almelo;KD15;Opkomst;;2188
Almelo;KD15;AantalStembriefjes;;2188
Almelo;KD15;AantalGeldigeStemmen;;2159
Almelo;KD15;AantalBlancoStemmen;;21
Almelo;KD15;;H.A. Insinger;1121
Almelo;KD15;;mr. G.M.van der Linden;1038
Delft;KD45;Kiesgerechtigden;;3175
Delft;KD45;AantalStembriefjes;;2504
Delft;KD45;Opkomst;;2503
Delft;KD45;AantalGeldigeStemmen;;2476
Delft;KD45;AantalBlancoStemmen;;26
Delft;KD45;;A.M. Schagen van Leeuwen;1416
Delft;KD45;;S. Gille Heringa;1060
