"","Regio","sub_election","Type","RegioCode","RegioUitslag","Kandidaat","AantalStemmen","main_election","Electoraat","Geldig","no_of_candidates","number","voteshare","politician","seats"
"17083","Rotterdam II",1917-12-21,"herstemming","KD47","","J. Schouten",4669,1917-06-15,17453,9513,2,2,"0.490802060338484","0",1
"16094","Amsterdam II",1917-06-22,"herstemming","KD29","","Z. Kamerling",898,1917-06-15,5731,2190,2,2,"0.410045662100457","0",1
"13037","Den Helder",1917-05-22,"herstemming","KD94","","C. Thomassen",2748,1913-06-17,9953,6089,2,2,"0.451305633108885","0",1
"11421","Winschoten",1916-06-17,"tussentijds","KD4","","K. Stenhuis",2776,1913-06-17,8858,6160,2,2,"0.450649350649351","0",1
"15800","Weert",1916-05-04,"herstemming","KD105","","W.F.W. Kolkman",2935,1913-06-17,8267,5904,2,2,"0.497120596205962","0",1
"17158","Rotterdam III",1914-01-14,"herstemming","KD116","","H. Stulemeijer",1784,1913-06-17,5734,4177,2,2,"0.427100790040699","0",1
"17150","Rotterdam III",1914-01-07,"tussentijds","KD116","","H. Stulemeijer",1532,1913-06-17,5734,3814,3,2,"0.401678028316728","0",NA
"16224","Amsterdam III",1913-11-11,"herstemming","KD30","","J. Oudegeest",6082,1913-06-17,16516,12797,2,2,"0.475267640853325","0",1
"16220","Amsterdam III",1913-11-04,"tussentijds","KD30","","J. Oudegeest",4604,1913-06-17,16516,10044,4,1,"0.458383114297093","0",NA
"16862","Hoogezand",1913-08-04,"tussentijds","KD107","","T. van der Waerden",2445,1913-06-17,7594,5008,2,2,"0.488218849840256","0",1
"16621","Amsterdam VI",1913-07-29,"herstemming","KD112","","H. Verkouteren",1517,1913-06-17,6048,3792,2,2,"0.400052742616034","0",1
"17717","Weststellingwerf",1913-06-25,"herstemming","KD109","","P. Kohnstamm",2497,1913-06-17,7878,5483,2,2,"0.455407623563742","0",1
"17531","Utrecht I",1913-06-25,"herstemming","KD110","","W.C. baron van Roëll",3745,1913-06-17,9767,8883,2,2,"0.421591804570528","0",1
"17061","Rotterdam II",1913-06-25,"herstemming","KD47","","W.B. van Staveren",5322,1913-06-17,13625,11451,2,2,"0.464762902803249","0",1
"15646","Veendam",1913-06-25,"herstemming","KD78","","H. Snijders",2624,1913-06-17,9054,6096,2,2,"0.430446194225722","0",1
"15140","Kampen",1913-06-25,"herstemming","KD13","","J.C. de Gast",3724,1913-06-17,8093,7601,2,2,"0.489935534798053","0",1
"14582","Apeldoorn",1913-06-25,"herstemming","KD91","","J. Esmeijer",5007,1913-06-17,10830,10102,2,2,"0.495644426846169","0",1
"13024","Den Helder",1913-06-25,"herstemming","KD94","","C. Thomassen",2509,1913-06-17,9031,5995,2,2,"0.418515429524604","0",1
"11414","Winschoten",1913-06-25,"herstemming","KD4","","L.M. Hermans",2537,1913-06-17,8016,5709,2,2,"0.44438605710282","0",1
"11121","Zuidhorn",1913-06-25,"herstemming","KD69","","A. Zijlstra",3444,1913-06-17,9324,8227,2,2,"0.418621611766136","0",1
"10700","Haarlem",1913-06-25,"herstemming","KD33","","D.E. van Lennep",4253,1913-06-17,10974,10041,2,2,"0.423563390100588","0",1
"6875","Leiden",1913-06-25,"herstemming","KD38","","P.E. Briët",3447,1913-06-17,7460,6986,2,2,"0.493415402233037","0",1
"5566","Gouda",1913-06-25,"herstemming","KD40","","J.A. de Wilde",4374,1913-06-17,10711,9785,2,2,"0.447010730710271","0",1
"5163","Gorinchem",1913-06-25,"herstemming","KD41","","P.E. Briët",3987,1913-06-17,8944,8248,2,2,"0.483389912706111","0",1
"4327","Dordrecht",1913-06-25,"herstemming","KD42","","H.C. Hogerzeil",3744,1913-06-17,9867,8378,2,2,"0.44688469801862","0",1
"2255","Appingedam",1913-06-25,"herstemming","KD3","","A. Zijlstra",3124,1913-06-17,9238,7619,2,2,"0.410027562672267","0",1
