 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret

BF.B      Market-Adjusted Model            .        .        .     
WELL      Market-Adjusted Model            .        .        .     
BRK.B     Market-Adjusted Model            .        .        .     
J         Market-Adjusted Model            .        .        .     
TFC       Market-Adjusted Model            .        .        .     
WELL      Market-Adjusted Model            .        .        .     
BRK.B     Market-Adjusted Model            .        .        .     
TFC       Market-Adjusted Model            .        .        .     
J         Market-Adjusted Model            .        .        .     
BF.B      Market-Adjusted Model            .        .        .     
VIAC      Market-Adjusted Model            .        .        .     
TDG       Market-Adjusted Model            .        .        .     
TIF       Market-Adjusted Model            .        .        .     
ZBH       Market-Adjusted Model            .        .        .     
UHS       Market-Adjusted Model            .        .        .     
MHK       Market-Adjusted Model            .        .        .     
DIS       Market-Adjusted Model            .        .        .     
PXD       Market-Adjusted Model            .        .        .     
SYF       Market-Adjusted Model            .        .        .     
FOXA      Market-Adjusted Model            .        .        .     
JPM       Market-Adjusted Model            .        .        .     
ILMN      Market-Adjusted Model            .        .        .     
PVH       Market-Adjusted Model            .        .        .     
WMB       Market-Adjusted Model            .        .        .     
RHI       Market-Adjusted Model            .        .        .     
VNO       Market-Adjusted Model            .        .        .     
FLIR      Market-Adjusted Model            .        .        .     
ORCL      Market-Adjusted Model            .        .        .     
NUE       Market-Adjusted Model            .        .        .     
GPS       Market-Adjusted Model            .        .        .     
IEX       Market-Adjusted Model            .        .        .     
INCY      Market-Adjusted Model            .        .        .     
NCLH      Market-Adjusted Model            .        .        .     
KSU       Market-Adjusted Model            .        .        .     
LYV       Market-Adjusted Model            .        .        .     
SO        Market-Adjusted Model            .        .        .     
FB        Market-Adjusted Model            .        .        .     
MCO       Market-Adjusted Model            .        .        .     
LEG       Market-Adjusted Model            .        .        .     
IT        Market-Adjusted Model            .        .        .     
ALLE      Market-Adjusted Model            .        .        .     
TEL       Market-Adjusted Model            .        .        .     
CINF      Market-Adjusted Model            .        .        .     
HIG       Market-Adjusted Model            .        .        .     
NFLX      Market-Adjusted Model            .        .        .     
TMUS      Market-Adjusted Model            .        .        .     
PGR       Market-Adjusted Model            .        .        .     
REG       Market-Adjusted Model            .        .        .     
F         Market-Adjusted Model            .        .        .     
HII       Market-Adjusted Model            .        .        .     
