gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip,co_cik,co_sic
001078,000003,19640331,,I0003,ABBOTT LABORATORIES,ABT,002824100,0000001800,2834
001300,000003,19640331,,I0003,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997
001440,000003,19640331,,I0003,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911
002285,000003,19640331,,I0003,BOEING CO,BA,097023105,0000012927,3721
002403,000003,19640331,,I0003,BRISTOL-MYERS SQUIBB CO,BMY,110122108,0000014272,2834
002663,000003,19640331,,I0003,CAMPBELL SOUP CO,CPB,134429109,0000016732,2030
002817,000003,19640331,,I0003,CATERPILLAR INC,CAT,149123101,0000018230,3531
002991,000003,19640331,,I0003,CHEVRON CORP,CVX,166764100,0000093410,2911
003144,000003,19640331,,I0003,COCA-COLA CO,KO,191216100,0000021344,2086
003170,000003,19640331,,I0003,COLGATE-PALMOLIVE CO,CL,194162103,0000021665,2844
003413,000003,19640331,,I0003,CONSOLIDATED EDISON INC,ED,209115104,0001047862,4931
003532,000003,19640331,,I0003,CORNING INC,GLW,219350105,0000024741,3679
003835,000003,19640331,,I0003,DEERE & CO,DE,244199105,0000315189,3523
003897,000003,19640331,,I0003,DTE ENERGY CO,DTE,233331107,0000936340,4931
004029,000003,19640331,,I0003,DOMINION ENERGY INC,D,25746U109,0000715957,4911
004199,000003,19640331,,I0003,EATON CORP PLC,ETN,G29183103,0001551182,3620
004503,000003,19640331,,I0003,EXXON MOBIL CORP,XOM,30231G102,0000034088,2911
004839,000003,19640331,,I0003,FORD MOTOR CO,F,345370860,0000037996,3711
005046,000003,19640331,,I0003,GENERAL DYNAMICS CORP,GD,369550108,0000040533,3721
005047,000003,19640331,,I0003,GENERAL ELECTRIC CO,GE,369604103,0000040545,9997
005439,000003,19640331,,I0003,HALLIBURTON CO,HAL,406216101,0000045012,1389
005597,000003,19640331,,I0003,HERSHEY CO,HSY,427866108,0000047111,2060
006066,000003,19640331,,I0003,INTL BUSINESS MACHINES CORP,IBM,459200101,0000051143,7370
006104,000003,19640331,,I0003,INTL PAPER CO,IP,460146103,0000051434,2631
006375,000003,19640331,,I0003,KELLOGG CO,K,487836108,0000055067,2040
006435,000003,19640331,,I0003,KIMBERLY-CLARK CORP,KMB,494368103,0000055785,2621
006502,000003,19640331,,I0003,KROGER CO,KR,501044101,0000056873,5411
007163,000003,19640331,,I0003,S&P GLOBAL INC,SPGI,78409V104,0000064040,7323
007241,000003,19640331,,I0003,CVS HEALTH CORP,CVS,126650100,0000064803,5912
007257,000003,19640331,,I0003,MERCK & CO,MRK,58933Y105,0000310158,2834
007366,000003,19640331,,I0003,ENTERGY CORP,ETR,29364G103,0000065984,4911
007435,000003,19640331,,I0003,3M CO,MMM,88579Y101,0000066740,2670
007585,000003,19640331,,I0003,MOTOROLA SOLUTIONS INC,MSI,620076307,0000068505,3663
007923,000003,19640331,,I0003,NORFOLK SOUTHERN CORP,NSC,655844108,0000702165,4011
007977,000003,19640331,,I0003,XCEL ENERGY INC,XEL,98389B100,0000072903,4931
008099,000003,19640331,,I0003,FIRSTENERGY CORP,FE,337932107,0001031296,4911
008247,000003,19640331,,I0003,PPG INDUSTRIES INC,PPG,693506107,0000079879,2851
008272,000003,19640331,,I0003,SEMPRA ENERGY,SRE,816851109,0001032208,4931
008479,000003,19640331,,I0003,PEPSICO INC,PEP,713448108,0000077476,2080
008530,000003,19640331,,I0003,PFIZER INC,PFE,717081103,0000078003,2834
008539,000003,19640331,,I0003,EXELON CORP,EXC,30161N101,0001109357,4911
008543,000003,19640331,,I0003,ALTRIA GROUP INC,MO,02209S103,0000764180,2111
008549,000003,19640331,,I0003,CONOCOPHILLIPS,COP,20825C104,0001163165,1311
008762,000003,19640331,,I0003,PROCTER & GAMBLE CO,PG,742718109,0000080424,2840
008810,000003,19640331,,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106,0000788784,4931
008972,000003,19640331,,I0003,RAYTHEON CO,RTN,755111507,0001047122,3812
009203,000003,19640331,,I0003,ROCKWELL AUTOMATION,ROK,773903109,0001024478,3620
009846,000003,19640331,,I0003,EDISON INTERNATIONAL,EIX,281020107,0000827052,4911
009850,000003,19640331,,I0003,SOUTHERN CO,SO,842587107,0000092122,4911
010499,000003,19640331,,I0003,TEXAS INSTRUMENTS INC,TXN,882508104,0000097476,3674
010867,000003,19640331,,I0003,UNION PACIFIC CORP,UNP,907818108,0000100885,4011
010983,000003,19640331,,I0003,UNITED TECHNOLOGIES CORP,UTX,913017109,0000101829,3724
011456,000003,19640331,,I0003,WEYERHAEUSER CO,WY,962166104,0000106535,2400
011465,000003,19640331,,I0003,WHIRLPOOL CORP,WHR,963320106,0000106640,3630
011636,000003,19640331,,I0003,XEROX HOLDINGS CORP,XRX,98421M106,0001770450,3577
009667,000003,19640630,,I0003,SHERWIN-WILLIAMS CO,SHW,824348106,0000089800,2851
003650,000003,19650331,,I0003,CUMMINS INC,CMI,231021106,0000026172,3510
004321,000003,19650331,,I0003,EMERSON ELECTRIC CO,EMR,291011104,0000032604,3823
009465,000003,19650331,,I0003,SCHLUMBERGER LTD,SLB,806857108,0000087347,1389
002574,000003,19670930,,I0003,CSX CORP,CSX,126408103,0000277948,4011
003121,000003,19690331,,I0003,CLOROX CO/DE,CLX,189054109,0000021076,2842
005071,000003,19690331,,I0003,GENERAL MILLS INC,GIS,370334104,0000040704,2040
007881,000003,19690630,,I0003,NEWMONT CORP,NEM,651639106,0001164727,1040
007154,000003,19700630,,I0003,MCDONALD'S CORP,MCD,580135101,0000063908,5812
006730,000003,19701231,,I0003,LILLY (ELI) & CO,LLY,532457108,0000059478,2834
002086,000003,19720930,,I0003,BAXTER INTERNATIONAL INC,BAX,071813109,0000010456,2834
002111,000003,19720930,,I0003,BECTON DICKINSON & CO,BDX,075887109,0000010795,3841
006266,000003,19730630,,I0003,JOHNSON & JOHNSON,JNJ,478160104,0000200406,2834
005125,000003,19731231,,I0003,GENUINE PARTS CO,GPC,372460105,0000040987,5013
005606,000003,19741231,,I0003,HP INC,HPQ,40434L105,0000047217,3570
011506,000003,19750331,,I0003,WILLIAMS COS INC,WMB,969457100,0000107263,4922
006078,000003,19760331,,I0003,INTL FLAVORS & FRAGRANCES,IFF,459506101,0000051253,2860
001447,000003,19760630,,I0003,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141
002547,000003,19760630,,I0003,CIGNA CORP,CI,125523100,0001739940,6324
002968,000003,19760630,,I0003,JPMORGAN CHASE & CO,JPM,46625H100,0000019617,6020
003505,000003,19760630,,I0003,MOLSON COORS BEVERAGE CO,TAP,60871R209,0000024545,2082
003980,000003,19760630,,I0003,DISNEY (WALT) CO,DIS,254687106,0001744489,4888
004093,000003,19760630,,I0003,DUKE ENERGY CORP,DUK,26441C204,0001326160,4931
004517,000003,19760630,,I0003,NEXTERA ENERGY INC,NEE,65339F101,0000753308,4911
006742,000003,19760630,,I0003,LINCOLN NATIONAL CORP,LNC,534187109,0000059558,6311
007647,000003,19760630,,I0003,BANK OF AMERICA CORP,BAC,060505104,0000070858,6020
008007,000003,19760630,,I0003,WELLS FARGO & CO,WFC,949746101,0000072971,6020
003813,000003,19761231,,I0003,TARGET CORP,TGT,87612E106,0000027419,5331
006008,000003,19761231,,I0003,INTEL CORP,INTC,458140100,0000050863,3674
010519,000003,19781231,,I0003,TEXTRON INC,TXT,883203101,0000217346,3721
011060,000003,19790630,,I0003,VF CORP,VFC,918204108,0000103379,2320
011264,000003,19791231,,I0003,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,0001618921,5912
001487,000003,19800331,,I0003,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331
004598,000003,19801231,,I0003,FEDEX CORP,FDX,31428X106,0001048911,4513
008253,000003,19801231,,I0003,PACCAR INC,PCAR,693718108,0000075362,3711
001891,000003,19810331,,I0003,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374
005256,000003,19810630,,I0003,GRAINGER (W W) INC,GWW,384802104,0000277135,5000
007085,000003,19810630,,I0003,MASCO CORP,MAS,574599106,0000062996,3430
001722,000003,19810729,,I0003,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070
011259,000003,19820831,,I0003,WALMART INC,WMT,931142103,0000104169,5331
009778,000003,19820930,,I0003,SNAP-ON INC,SNA,833034101,0000091440,3420
010016,000003,19820930,,I0003,STANLEY BLACK & DECKER INC,SWK,854502101,0000093556,3540
002435,000003,19821031,,I0003,BROWN FORMAN CORP,BF.B,115637209,0000014693,2085
001690,000003,19821130,,I0003,APPLE INC,AAPL,037833100,0000320193,3663
008068,000003,19821231,,I0003,OCCIDENTAL PETROLEUM CORP,OXY,674599105,0000797468,1311
003362,000003,19830831,,I0003,CONAGRA BRANDS INC,CAG,205887102,0000023217,2000
006733,000003,19830930,,I0003,L BRANDS INC,LB,501797104,0000701985,5600
002136,000003,19831130,,I0003,VERIZON COMMUNICATIONS INC,VZ,92343V104,0000732712,4812
009899,000003,19831130,,I0003,AT&T INC,T,00206R102,0000732717,4812
006829,000003,19840229,,I0003,LOWE'S COS INC,LOW,548661107,0000060667,5211
008823,000003,19840430,,I0003,PULTEGROUP INC,PHM,745867101,0000822416,1531
001380,000003,19840531,,I0003,HESS CORP,HES,42809H107,0000004447,1311
006774,000003,19840731,,I0003,LOCKHEED MARTIN CORP,LMT,539830109,0000936468,3760
005518,000003,19840930,,I0003,HASBRO INC,HAS,418056107,0000046080,3944
001988,000003,19841031,,I0003,BALL CORP,BLL,058498106,0000009389,3411
001209,000003,19850430,,I0003,AIR PRODUCTS & CHEMICALS INC,APD,009158106,0000002969,2810
008030,000003,19850430,,I0003,NUCOR CORP,NUE,670346105,0000073309,3312
004145,000003,19850531,,I0003,PERKINELMER INC,PKI,714046109,0000031791,3826
007985,000003,19850630,,I0003,NORTHROP GRUMMAN CORP,NOC,666807102,0001133421,3812
005742,000003,19850731,,I0003,CENTERPOINT ENERGY INC,CNP,15189T107,0001130310,4931
011672,000003,19850930,,I0003,TJX COS INC (THE),TJX,872540109,0000109198,5651
004058,000003,19851031,,I0003,DOVER CORP,DOV,260003108,0000029905,3585
