"","gemeente","1848","1850","1888","1897","district"
"1","Adorp",1,NA,NA,NA,"Groningen"
"2","Bedum",NA,NA,1,NA,"Groningen"
"3","Groningen",1,1,1,1,"Groningen"
"4","Haren
Haren",1,1,1,NA,"Groningen"
"5","Hoogezand",1,1,1,NA,"Groningen"
"6","Hoogkerk",1,NA,NA,NA,"Groningen"
"7","Noorddijk",1,NA,1,NA,"Groningen"
"8","Sappemeer",NA,1,NA,NA,"Groningen"
"9","Slochteren",NA,NA,1,NA,"Groningen"
"10","Ten Boer",NA,NA,1,NA,"Groningen"
"11","Aduard",1,NA,NA,NA,"Onderdendam"
"12","Baflo",1,NA,NA,NA,"Onderdendam"
"13","Bedum",1,NA,NA,NA,"Onderdendam"
"14","Eenrum",1,NA,NA,NA,"Onderdendam"
"15","Ezinge",1,NA,NA,NA,"Onderdendam"
"16","Grijpskerk",1,NA,NA,NA,"Onderdendam"
"17","Grootegast",1,NA,NA,NA,"Onderdendam"
"18","Kantens",1,NA,NA,NA,"Onderdendam"
"19","Kloosterburen",1,NA,NA,NA,"Onderdendam"
"20","Leek",1,NA,NA,NA,"Onderdendam"
"21","Leens",1,NA,NA,NA,"Onderdendam"
"22","Marum",1,NA,NA,NA,"Onderdendam"
"23","Middelstum",1,NA,NA,NA,"Onderdendam"
"24","Oldehove",1,NA,NA,NA,"Onderdendam"
"25","Oldekerk",1,NA,NA,NA,"Onderdendam"
"26","Ulrum",1,NA,NA,NA,"Onderdendam"
"27","Usquert",1,NA,NA,NA,"Onderdendam"
"28","Warffum",1,NA,NA,NA,"Onderdendam"
"29","Winsum",1,NA,NA,NA,"Onderdendam"
"30","Zuidhorn",1,NA,NA,NA,"Onderdendam"
"31","'t Zandt",1,1,1,1,"Appingedam"
"32","Appingedam",1,1,1,1,"Appingedam"
"33","Baflo",NA,NA,1,1,"Appingedam"
"34","Beerta",NA,1,NA,NA,"Appingedam"
"35","Bellingwolde",NA,1,NA,NA,"Appingedam"
"36","Bierum",1,1,1,1,"Appingedam"
"37","Delfzijl",1,1,1,1,"Appingedam"
"38","Eenrum",NA,NA,1,1,"Appingedam"
"39","Finsterwolde",NA,1,NA,NA,"Appingedam"
"40","Kantens",NA,1,1,1,"Appingedam"
"41","Loppersum",1,1,1,1,"Appingedam"
"42","Meeden",NA,1,NA,NA,"Appingedam"
"43","Middelstum",NA,1,1,1,"Appingedam"
"44","Midwolde",1,1,NA,NA,"Appingedam"
"45","Muntendam",NA,1,NA,NA,"Appingedam"
"46","Nieuwe-Pekela",NA,1,NA,NA,"Appingedam"
"47","Nieuwe-Schans",NA,1,NA,NA,"Appingedam"
"48","Nieuwolda",1,1,NA,NA,"Appingedam"
"49","Noordbroek",1,1,NA,NA,"Appingedam"
"50","Oude-Pekela",NA,1,NA,NA,"Appingedam"
"51","Sappemeer",1,NA,NA,NA,"Appingedam"
"52","Scheemda",NA,1,NA,NA,"Appingedam"
"53","Slochteren",1,1,NA,NA,"Appingedam"
"54","Stedum",1,1,1,1,"Appingedam"
"55","Ten Boer",1,1,NA,NA,"Appingedam"
"56","Beerta",1,NA,1,1,"Winschoten"
"57","Bellingwolde",1,NA,1,1,"Winschoten"
"58","Finsterwolde",1,NA,1,1,"Winschoten"
"59","Meeden",1,NA,NA,NA,"Winschoten"
"60","Midwolda",NA,NA,1,1,"Winschoten"
"61","Muntendam",1,NA,NA,NA,"Winschoten"
"62","Nieuwe-Pekela",1,NA,NA,NA,"Winschoten"
"63","Nieuwe-Schans",1,NA,1,1,"Winschoten"
"64","Nieuwolda",NA,NA,1,1,"Winschoten"
"65","Noordbroek",NA,NA,1,1,"Winschoten"
"66","Onstwedde",1,NA,NA,NA,"Winschoten"
"67","Oude-Pekela",1,NA,NA,NA,"Winschoten"
"68","Scheemda",1,NA,1,1,"Winschoten"
"69","Termunten",NA,NA,1,1,"Winschoten"
"70","Veendam",1,NA,NA,NA,"Winschoten"
"71","Vlagtwedde",1,NA,NA,NA,"Winschoten"
"72","Wedde",1,NA,1,1,"Winschoten"
"73","Wildervank",1,NA,NA,NA,"Winschoten"
"74","Winschoten",1,NA,1,1,"Winschoten"
"75","Zuidbroek",NA,NA,1,1,"Winschoten"
"76","Barradeel",NA,1,NA,NA,"Leeuwarden"
"77","Bildt ('t)",NA,1,NA,NA,"Leeuwarden"
"78","Bolsward",NA,1,NA,NA,"Leeuwarden"
"79","Franeker",NA,1,NA,NA,"Leeuwarden"
"80","Franekeradeel",NA,1,NA,NA,"Leeuwarden"
"81","Harlingen",NA,1,NA,NA,"Leeuwarden"
"82","Idaarderadeel",1,NA,1,1,"Leeuwarden"
"83","Leeuwarden",1,1,1,1,"Leeuwarden"
"84","Leeuwarderadeel",1,1,1,1,"Leeuwarden"
"85","Menaldumadeel",1,1,NA,NA,"Leeuwarden"
"86","Tietjerksteradeel",1,1,NA,NA,"Leeuwarden"
"87","Wonseradeel",NA,1,NA,NA,"Leeuwarden"
"88","Achtkarspelen",1,1,NA,NA,"Dokkum"
"89","Ameland",1,1,1,1,"Dokkum"
"90","Dantumadeel",1,1,1,1,"Dokkum"
"91","Dokkum",1,1,1,1,"Dokkum"
"92","Ferwerderadeel",1,1,1,1,"Dokkum"
"93","Kollumerland",1,1,NA,NA,"Dokkum"
"94","Oostdongeradeel",1,1,1,1,"Dokkum"
"95","Schiermonnikoog",1,1,1,1,"Dokkum"
"96","Westdongeradeel",1,1,1,1,"Dokkum"
"97","Aengwirden",1,NA,NA,NA,"Heerenveen"
"98","Heerenveen",1,NA,NA,NA,"Heerenveen"
"99","Ooststellingwerf",1,NA,NA,NA,"Heerenveen"
"100","Opsterland",1,NA,NA,NA,"Heerenveen"
"101","Schoterland",1,NA,NA,NA,"Heerenveen"
"102","Smallingerland",1,NA,NA,NA,"Heerenveen"
"103","Utingeradeel",1,NA,NA,NA,"Heerenveen"
"104","Weststellingwerf",1,NA,NA,NA,"Heerenveen"
"105","Aengwirden",NA,1,NA,NA,"Sneek"
"106","Baarderadeel",NA,1,NA,NA,"Sneek"
"107","Doniawerstal",1,1,1,1,"Sneek"
"108","Gaasterland",1,1,1,1,"Sneek"
"109","Haskerland",1,1,NA,NA,"Sneek"
"110","Hemelumer Oldephaert",1,1,1,1,"Sneek"
"111","Hennaarderadeel",1,1,NA,NA,"Sneek"
"112","Hindeloopen",1,1,NA,NA,"Sneek"
"113","Idaarderadeel",NA,1,NA,NA,"Sneek"
"114","Lemsterland",1,1,NA,NA,"Sneek"
"115","Opsterland",NA,1,NA,NA,"Sneek"
"116","Rauwerderhem",1,1,1,1,"Sneek"
"117","Schoterland",NA,1,NA,NA,"Sneek"
"118","Sloten",1,1,1,1,"Sneek"
"119","Smallingerland",NA,1,NA,NA,"Sneek"
"120","Sneek",1,1,1,1,"Sneek"
"121","Stavoren",1,1,1,1,"Sneek"
"122","Utingeradeel",NA,1,NA,NA,"Sneek"
"123","Wijmbritseradeel",1,1,1,1,"Sneek"
"124","Workum",1,1,NA,NA,"Sneek"
"125","Ylst",1,1,1,1,"Sneek"
"126","Baarderadeel",1,NA,1,1,"Franeker"
"127","Barradeel",1,NA,NA,NA,"Franeker"
"128","Bildt ('t)",1,NA,1,1,"Franeker"
"129","Bolsward",1,NA,NA,NA,"Franeker"
"130","Franeker",1,NA,1,1,"Franeker"
"131","Franekeradeel",1,NA,1,1,"Franeker"
"132","Harlingen",1,NA,NA,NA,"Franeker"
"133","Hennaarderadeel",NA,NA,1,1,"Franeker"
"134","Menaldumadeel",NA,NA,1,1,"Franeker"
"135","Wonseradeel",1,NA,NA,NA,"Franeker"
"136","Anlo",1,1,1,1,"Assen"
"137","Assen",1,1,1,1,"Assen"
"138","Beilen",1,1,NA,NA,"Assen"
"139","Borger",1,1,NA,NA,"Assen"
"140","Coevorden",NA,1,NA,NA,"Assen"
"141","Dalen",NA,1,NA,NA,"Assen"
"142","De Wijk",NA,1,NA,NA,"Assen"
"143","Diever",1,1,NA,NA,"Assen"
"144","Dwingelo",1,1,NA,NA,"Assen"
"145","Eelde",1,1,1,1,"Assen"
"146","Emmen",NA,1,NA,NA,"Assen"
"147","Gasselte",1,1,1,1,"Assen"
"148","Gieten",1,1,1,1,"Assen"
"149","Havelte",NA,1,NA,NA,"Assen"
"150","Hoogeveen",NA,1,NA,NA,"Assen"
"151","Meppel",NA,1,NA,NA,"Assen"
"152","Nijeveen",NA,1,NA,NA,"Assen"
"153","Norg",1,1,1,1,"Assen"
"154","Odoorn",1,1,NA,NA,"Assen"
"155","Onstwedde",NA,1,NA,NA,"Assen"
"156","Oosterhesselen",NA,1,NA,NA,"Assen"
"157","Peize",1,1,1,1,"Assen"
"158","Roden",1,1,1,1,"Assen"
"159","Rolde",1,1,1,1,"Assen"
"160","Ruinen",NA,1,NA,NA,"Assen"
"161","Coevorden",1,NA,NA,NA,"Hoogeveen"
"162","Dalen",1,NA,NA,NA,"Hoogeveen"
"163","De Wijk",1,NA,NA,NA,"Hoogeveen"
"164","Emmen",1,NA,NA,NA,"Hoogeveen"
"165","Havelte",1,NA,NA,NA,"Hoogeveen"
"166","Hoogeveen",1,NA,NA,NA,"Hoogeveen"
"167","Meppel",1,NA,NA,NA,"Hoogeveen"
"168","Nijeveen",1,NA,NA,NA,"Hoogeveen"
"169","Oosterhesselen",1,NA,NA,NA,"Hoogeveen"
"170","Ruinen",1,NA,NA,NA,"Hoogeveen"
"171","Ruinerwold",1,NA,NA,NA,"Hoogeveen"
"172","Sleen",1,NA,NA,NA,"Hoogeveen"
"173","Zuidwolde",1,NA,NA,NA,"Hoogeveen"
"174","Zweelo",1,NA,NA,NA,"Hoogeveen"
"175","Avereest",1,1,NA,NA,"Zwolle"
"176","Dalfsen",1,1,1,1,"Zwolle"
"177","Doornspijk",NA,1,NA,NA,"Zwolle"
"178","Elburg",NA,1,NA,NA,"Zwolle"
"179","Genemuiden",NA,1,NA,NA,"Zwolle"
"180","Grafhorst",NA,1,NA,NA,"Zwolle"
"181","Hasselt",1,1,NA,NA,"Zwolle"
"182","Hattem",NA,1,NA,NA,"Zwolle"
"183","Heerde",NA,1,NA,NA,"Zwolle"
"184","Heino",NA,1,1,1,"Zwolle"
"185","Hellendoorn",NA,1,NA,NA,"Zwolle"
"186","Kampen",NA,1,NA,NA,"Zwolle"
"187","Kamperveen",NA,1,NA,NA,"Zwolle"
"188","Nieuwleusen",1,1,NA,NA,"Zwolle"
"189","Oldebroek",NA,1,NA,NA,"Zwolle"
"190","Olst",NA,1,NA,NA,"Zwolle"
"191","Raalte",NA,1,NA,NA,"Zwolle"
"192","Schokland",NA,1,NA,NA,"Zwolle"
"193","Staphorst",1,NA,NA,NA,"Zwolle"
"194","Wijhe",NA,1,1,1,"Zwolle"
"195","Wilsum",NA,1,NA,NA,"Zwolle"
"196","Ysselmuiden",NA,1,NA,NA,"Zwolle"
"197","Zalk en Veecaten",1,1,NA,NA,"Zwolle"
"198","Zwolle",1,1,1,1,"Zwolle"
"199","Zwollerkerspel",1,1,1,1,"Zwolle"
"200","Blankenham",1,NA,NA,NA,"Kampen"
"201","Blokzijl",1,NA,NA,NA,"Kampen"
"202","Doornspijk",NA,NA,1,1,"Kampen"
"203","Elburg",NA,NA,1,1,"Kampen"
"204","Genemuiden",1,NA,NA,NA,"Kampen"
"205","Giethoorn",1,NA,NA,NA,"Kampen"
"206","Grafhorst",1,NA,1,1,"Kampen"
"207","Hattem",NA,NA,1,1,"Kampen"
"208","Heerde",NA,NA,1,1,"Kampen"
"209","Kampen",1,NA,1,1,"Kampen"
"210","Kamperveen",1,NA,1,1,"Kampen"
"211","Kuinre",1,NA,NA,NA,"Kampen"
"212","Oldebroek",NA,NA,1,1,"Kampen"
"213","Oldemarkt",1,NA,NA,NA,"Kampen"
"214","Schokland",1,NA,NA,NA,"Kampen"
"215","Steenwijk",1,NA,NA,NA,"Kampen"
"216","Steenwijkerwold",1,NA,NA,NA,"Kampen"
"217","Vollenhove (Ambt-)",1,NA,NA,NA,"Kampen"
"218","Vollenhove (Stad-)",1,NA,NA,NA,"Kampen"
"219","Wanneperveen",1,NA,NA,NA,"Kampen"
"220","Wilsum",1,NA,1,1,"Kampen"
"221","Ysselmuiden",1,NA,1,1,"Kampen"
"222","Zalk en Veecaten",NA,NA,1,1,"Kampen"
"223","Zwartsluis",1,NA,NA,NA,"Kampen"
"224","Bathmen",1,1,1,NA,"Deventer"
"225","Deventer",1,1,1,NA,"Deventer"
"226","Diepenveen",1,1,1,NA,"Deventer"
"227","Epe",NA,1,NA,NA,"Deventer"
"228","Gorssel",NA,1,NA,NA,"Deventer"
"229","Heino",1,NA,NA,NA,"Deventer"
"230","Hellendoorn",1,NA,NA,NA,"Deventer"
"231","Holten",1,1,NA,NA,"Deventer"
"232","Markelo",NA,1,NA,NA,"Deventer"
"233","Olst",1,NA,1,NA,"Deventer"
"234","Raalte",1,NA,NA,NA,"Deventer"
"235","Voorst",NA,1,1,NA,"Deventer"
"236","Wijhe",1,NA,NA,NA,"Deventer"
"237","Almelo (Ambt-)",1,1,1,1,"Almelo"
"238","Almelo (Stad-)",1,1,1,1,"Almelo"
"239","Borne",1,1,1,1,"Almelo"
"240","Delden (Ambt-)",NA,1,NA,NA,"Almelo"
"241","Delden (Stad-)",NA,1,NA,NA,"Almelo"
"242","Denekamp",1,1,1,1,"Almelo"
"243","Enschede",NA,1,NA,NA,"Almelo"
"244","Goor",NA,1,NA,NA,"Almelo"
"245","Gramsbergen",1,1,NA,NA,"Almelo"
"246","Haaksbergen",NA,1,NA,NA,"Almelo"
"247","Ham (Den)",1,1,NA,NA,"Almelo"
"248","Hardenberg (Ambt-)",1,1,NA,NA,"Almelo"
"249","Hardenberg (Stad-)",1,1,NA,NA,"Almelo"
"250","Hengelo",NA,1,NA,NA,"Almelo"
"251","Lonneker",NA,1,NA,NA,"Almelo"
"252","Losser",NA,1,NA,NA,"Almelo"
"253","Oldenzaal",NA,1,NA,NA,"Almelo"
"254","Ommen (Ambt-)",1,1,NA,NA,"Almelo"
"255","Ommen (Stad-)",1,1,NA,NA,"Almelo"
"256","Ootmarsum",1,1,1,1,"Almelo"
"257","Rijssen",1,1,1,1,"Almelo"
"258","Tubbergen",1,1,1,1,"Almelo"
"259","Vriezenveen",1,1,NA,NA,"Almelo"
"260","Weerselo",NA,1,1,1,"Almelo"
"261","Wierden",1,1,1,1,"Almelo"
"262","Delden (Ambt-)",1,NA,NA,NA,"Enschede"
"263","Delden (Stad-)",1,NA,NA,NA,"Enschede"
"264","Diepenheim",1,NA,NA,NA,"Enschede"
"265","Enschede",1,NA,1,1,"Enschede"
"266","Goor",1,NA,NA,NA,"Enschede"
"267","Haaksbergen",1,NA,1,1,"Enschede"
"268","Hengelo",1,NA,1,1,"Enschede"
"269","Lonneker",1,NA,1,1,"Enschede"
"270","Losser",1,NA,1,1,"Enschede"
"271","Markelo",1,NA,NA,NA,"Enschede"
"272","Oldenzaal",1,NA,1,1,"Enschede"
"273","Weerselo",1,NA,NA,NA,"Enschede"
"274","Apeldoorn",1,1,NA,NA,"Arnhem"
"275","Arnhem",1,1,1,1,"Arnhem"
"276","Barneveld",NA,1,NA,NA,"Arnhem"
"277","Brummen",NA,1,NA,NA,"Arnhem"
"278","Doorwerth",1,1,NA,NA,"Arnhem"
"279","Ede",1,1,NA,NA,"Arnhem"
"280","Ermelo",NA,1,NA,NA,"Arnhem"
"281","Harderwijk",NA,1,NA,NA,"Arnhem"
"282","Hemmen",NA,1,NA,NA,"Arnhem"
"283","Heteren",NA,1,NA,NA,"Arnhem"
"284","Nijkerk",NA,1,NA,NA,"Arnhem"
"285","Putten",NA,1,NA,NA,"Arnhem"
"286","Renkum",1,1,NA,NA,"Arnhem"
"287","Rheden",1,1,NA,NA,"Arnhem"
"288","Rozendaal",1,1,NA,NA,"Arnhem"
"289","Wageningen",NA,1,NA,NA,"Arnhem"
"290","Barneveld",1,NA,NA,NA,"Harderwijk"
"291","Doornspijk",1,NA,NA,NA,"Harderwijk"
"292","Elburg",1,NA,NA,NA,"Harderwijk"
"293","Ermelo",1,NA,NA,NA,"Harderwijk"
"294","Harderwijk",1,NA,NA,NA,"Harderwijk"
