Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Dokkum;KD8;Kiesgerechtigden;;2551
Dokkum;KD8;Opkomst;;1390
Dokkum;KD8;AantalStembriefjes;;1390
Dokkum;KD8;AantalGeldigeStemmen;;1388
Dokkum;KD8;AantalBlancoStemmen;;1
Dokkum;KD8;;mr. J.H. Albarda;514
Dokkum;KD8;;O.baron van Wassenaer van Catwijck;432
Dokkum;KD8;;mr. P.A.S.van Limburg Brouwer;345
Dokkum;KD8;;jhr.mr. S.W.H.A.van Beijma thoe Kingma;82
Groningen;KD1;Kiesgerechtigden;;1564
Groningen;KD1;Opkomst;;528
Groningen;KD1;AantalStembriefjes;;528
Groningen;KD1;AantalGeldigeStemmen;;524
Groningen;KD1;AantalBlancoStemmen;;3
Groningen;KD1;;mr. J.H. Geertsema;389
Groningen;KD1;;dr. W.J.A. Jonckbloet;73
Groningen;KD1;;mr. J.J. Bleeker;32
