Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Amersfoort;KD26;Kiesgerechtigden;;7046
Amersfoort;KD26;Opkomst;;4549
Amersfoort;KD26;AantalStembriefjes;;4549
Amersfoort;KD26;AantalGeldigeStemmen;;4499
Amersfoort;KD26;AantalBlancoStemmen;;50
Amersfoort;KD26;;jhr.mr. H.W.van Asch van Wijck;2410
Amersfoort;KD26;;mr. W.H.de Beaufort;2089
Elst;KD22;Kiesgerechtigden;;6819
Elst;KD22;Opkomst;;4460
Elst;KD22;AantalStembriefjes;;4460
Elst;KD22;AantalGeldigeStemmen;;4403
Elst;KD22;AantalBlancoStemmen;;57
Elst;KD22;;S.M.van Wijck;3236
Elst;KD22;;mr. W.baron van Voorst tot Voorst;1167
Grave;KD56;Kiesgerechtigden;;6108
's-Hertogenbosch;KD55;Kiesgerechtigden;;4732
's-Hertogenbosch;KD55;Opkomst;;1782
's-Hertogenbosch;KD55;AantalStembriefjes;;1782
's-Hertogenbosch;KD55;AantalGeldigeStemmen;;1759
's-Hertogenbosch;KD55;AantalBlancoStemmen;;23
's-Hertogenbosch;KD55;;jhr.mr. A.F.O.van Sasse van Ysselt;1493
's-Hertogenbosch;KD55;;mr. J.A.A. Bosch;266
Sliedrecht;KD99;Kiesgerechtigden;;5919
Sliedrecht;KD99;Opkomst;;3358
Sliedrecht;KD99;AantalStembriefjes;;3358
Sliedrecht;KD99;AantalGeldigeStemmen;;3312
Sliedrecht;KD99;AantalBlancoStemmen;;46
Sliedrecht;KD99;;A.D.P.V.van Löben Sels;2166
Sliedrecht;KD99;;B.H. Heldt;1146
Stad Delden;SD179;AantalGeldigeStemmen;;223
Stad Delden;SD179;AantalStembriefjes;;223
Stad Delden;SD179;Opkomst;;223
Stad Delden;SD179;AantalBlancoStemmen;;0
