"","JAAR","GEMEENTE","PlaatsID","PROVINCIE","howmuch"
"1",1372,"Leiden",450,"Zuid-Holland",1
"2",1391,"Leiden",450,"Zuid-Holland",1
"3",1443,"Leiden",450,"Zuid-Holland",1
"4",1470,"Leiden",450,"Zuid-Holland",1
"5",1500,"Steenbergen",733,"Noord-Brabant",1
"6",1611,"Onbekend",960,"Onbekend / Unknown",1
"7",1613,"Onbekend",960,"Onbekend / Unknown",1
"8",1615,"nvt",949,"Onbekend / Unknown",1
"9",1616,"Amsterdam",27,"Noord-Holland",1
"10",1616,"Onbekend",960,"Onbekend / Unknown",1
"11",1621,"Onbekend",960,"Onbekend / Unknown",1
"12",1629,"Onbekend",960,"Onbekend / Unknown",1
"13",1630,"Onbekend",960,"Onbekend / Unknown",2
"14",1635,"Onbekend",960,"Onbekend / Unknown",1
"15",1636,"Onbekend",960,"Onbekend / Unknown",1
"16",1637,"Leiden",450,"Zuid-Holland",1
"17",1638,"Onbekend",960,"Onbekend / Unknown",1
"18",1652,"nvt",949,"Onbekend / Unknown",1
"19",1653,"nvt",949,"Onbekend / Unknown",1
"20",1654,"nvt",958,"Zeeland",1
"21",1655,"Gouda",290,"Zuid-Holland",1
"22",1667,"nvt",949,"Onbekend / Unknown",1
"23",1670,"Amsterdam",27,"Noord-Holland",1
"24",1675,"nvt",949,"Onbekend / Unknown",1
"25",1677,"nvt",949,"Onbekend / Unknown",1
"26",1694,"nvt",949,"Onbekend / Unknown",1
"27",1700,"Leiden",450,"Zuid-Holland",1
"28",1701,"Leiden",450,"Zuid-Holland",3
"29",1705,"nvt",949,"Onbekend / Unknown",1
"30",1716,"Leiden",450,"Zuid-Holland",1
"31",1722,"nvt",949,"Onbekend / Unknown",1
"32",1733,"nvt",949,"Onbekend / Unknown",1
"33",1736,"Amsterdam",27,"Noord-Holland",1
"34",1744,"Amsterdam",27,"Noord-Holland",1
"35",1745,"nvt",949,"Onbekend / Unknown",1
"36",1750,"",1310,"",1
"37",1750,"Texel",763,"Noord-Holland",1
"38",1763,"nvt",949,"Onbekend / Unknown",1
"39",1810,"Haskerland",700,"Friesland",1
"40",1812,"Muiden",516,"Noord-Holland",1
"41",1817,"Den Helder",178,"Noord-Holland",1
"42",1817,"Heerenveen",9,"Friesland",1
"43",1818,"Heerenveen",9,"Friesland",1
"44",1819,"Den Haag",687,"Zuid-Holland",1
"45",1819,"Finsterwolde",251,"Groningen",1
"46",1819,"Heerenveen",9,"Friesland",1
"47",1820,"Zuidbroek",929,"Groningen",1
