"","name","name_match","id_match","1860-1864","1864-1866","1866-1868","1868-1871","1871-1875","1875-1879","1879-1883","1883-1884","1884-1886","1886-1887","1887-1888","1888-1891","1891-1894","1894-1897","1897-1901","1901-1905","1905-1909","1909-1913","1913-1917","1917-1918","1918-1922"
"1","Sebastiaan Hendrik Anemaet","Sebastiaan Hendrik Anemaet","00028",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Sybrand van Beyma thoe Kingma","Sybrand Hingst","00583",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Carolus Cornelius Aloysius Beens","Carolus Cornelius Aloysius Beens","00078",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Dirk van Akerlaken","Dirk Akerlaken","00009",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Willem Adriaan Bergsma","Willem Adriaan Bergsma","00102",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Willem Hendrik de Beaufort ","Willem Hendrik Beaufort","00071",0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
"7","Philippus van Blom","Philippus Blom","00132",0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"8","Eilard Jacobus Attema","Eilard Jacobus Attema","00044",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9","Jacob Willem Gustaaf Booreel van Hogelanden","Jacob Willem Gustaaf Boreel van Hogelanden","00164",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"10","Abraham Bouman","Abraham Bouman","00188",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"11","Klaas de Boer Czn.","Klaas Boer","00144",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"12","Jean Arnoldts","Jan Stolk","01311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13","Piet Aalberse ","Pieter Foreest","00417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"14","Antoine Arts","Antoine Plate","01036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"15","Warnardus Cornelis Mathildus Begram","Warnardus Cornelis Mathildus Begram","00082",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Johannes Baptista Bots","Johannes Baptista Bots","00186",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Jan Hendrik Arnoldts","Jan Hendrik Arnoldts","00031",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
