"","JAAR","GEMEENTE","PROVINCIE","howmuch","temp","district"
"1",1871,"Amsterdam","Noord-Holland",1,1850,"Amsterdam"
"2",1871,"Delfzijl","Groningen",1,1850,"Appingedam"
"3",1871,"Den Haag","Zuid-Holland",2,1850,"Den Haag"
"4",1871,"Harlingen","Friesland",1,1850,"Leeuwarden"
"5",1871,"Heerenveen","Friesland",1,1850,NA
"6",1871,"Hoorn","Noord-Holland",1,1850,"Hoorn"
"7",1871,"Loppersum","Groningen",1,1850,"Appingedam"
"8",1871,"Rotterdam","Zuid-Holland",1,1850,"Rotterdam"
"9",1871,"Vlaardingen","Zuid-Holland",2,1850,"Delft"
"10",1871,"Weststellingwerd","Friesland",1,1850,NA
"11",1872,"Almelo","Overijssel",1,1850,"Almelo"
"12",1872,"Amsterdam","Noord-Holland",5,1850,"Amsterdam"
"13",1872,"Arnhem","Gelderland",1,1850,"Arnhem"
"14",1872,"Borne","Overijssel",1,1850,"Almelo"
"15",1872,"Delfshaven","Zuid-Holland",1,1850,"Delft"
"16",1872,"Den Haag","Zuid-Holland",2,1850,"Den Haag"
"17",1872,"Dordrecht","Zuid-Holland",1,1850,"Dordrecht"
"18",1872,"Enschede","Overijssel",2,1850,"Almelo"
"19",1872,"Gramsbergen","Overijssel",1,1850,"Almelo"
"20",1872,"Heerenveen","Friesland",1,1850,NA
"21",1872,"Hellendoorn","Overijssel",1,1850,"Zwolle"
"22",1872,"Leeuwarden","Friesland",1,1850,"Leeuwarden"
"23",1872,"Leiden","Zuid-Holland",1,1850,"Leiden"
"24",1872,"Lemsterland","Friesland",1,1850,"Sneek"
"25",1872,"Oldemarkt","Overijssel",1,1850,"Steenwijk"
"26",1872,"Rotterdam","Zuid-Holland",4,1850,"Rotterdam"
"27",1872,"Schiedam","Zuid-Holland",1,1850,"Delft"
"28",1872,"Schoonhoven","Zuid-Holland",1,1850,"Gouda"
"29",1872,"Utrecht","Utrecht",3,1850,"Utrecht"
"30",1872,"Veenendaal","Utrecht",1,1850,"Amersfoort"
"31",1872,"Vriezenveen","Overijssel",1,1850,"Almelo"
"32",1872,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"33",1872,"Wierden","Overijssel",1,1850,"Almelo"
"34",1872,"Woerden","Zuid-Holland",1,1850,"Gouda"
"35",1872,"Zaandam","Noord-Holland",1,1850,"Alkmaar"
"36",1872,"Zwollerkerspel","Overijssel",1,1850,"Zwolle"
"37",1873,"Almelo","Overijssel",3,1850,"Almelo"
"38",1873,"Amsterdam","Noord-Holland",6,1850,"Amsterdam"
"39",1873,"Arnhem","Gelderland",2,1850,"Arnhem"
"40",1873,"Haarlem","Noord-Holland",1,1850,"Haarlem"
"41",1873,"Hengelo","Overijssel",1,1850,"Almelo"
"42",1873,"Hengelo","Overijssel",1,1850,"Zutphen"
"43",1873,"Leiden","Zuid-Holland",1,1850,"Leiden"
"44",1873,"Opsterland","Friesland",2,1850,"Sneek"
"45",1873,"Renkum","Gelderland",2,1850,"Arnhem"
"46",1873,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"47",1874,"Amsterdam","Noord-Holland",2,1850,"Amsterdam"
"48",1874,"Avereest","Overijssel",1,1850,"Zwolle"
"49",1874,"Den Bosch","Noord-Brabant",1,1850,"Den Bosch"
"50",1874,"Den Haag","Zuid-Holland",1,1850,"Den Haag"
"51",1874,"Eindhoven","Noord-Brabant",1,1850,"Eindhoven"
"52",1874,"Gieten","Drenthe",1,1850,"Assen"
"53",1874,"Groningen","Groningen",1,1850,"Groningen"
"54",1874,"Haskerland","Friesland",1,1850,"Sneek"
"55",1874,"Leiden","Zuid-Holland",1,1850,"Leiden"
"56",1874,"Oldebroek","Gelderland",1,1850,"Zwolle"
"57",1874,"Opsterland","Friesland",2,1850,"Sneek"
"58",1874,"Rotterdam","Zuid-Holland",1,1850,"Rotterdam"
"59",1874,"Ulrum","Groningen",1,1850,"Zuidhorn"
"60",1874,"Utrecht","Utrecht",1,1850,"Utrecht"
"61",1875,"Almelo","Overijssel",2,1850,"Almelo"
"62",1875,"Amsterdam","Noord-Holland",1,1850,"Amsterdam"
"63",1875,"Delfshaven","Zuid-Holland",1,1850,"Delft"
"64",1875,"Haskerland","Friesland",1,1850,"Sneek"
"65",1875,"Opsterland","Friesland",1,1850,"Sneek"
"66",1875,"Vlissingen","Zeeland",1,1850,"Middelburg"
"67",1875,"Vriezenveen","Overijssel",1,1850,"Almelo"
"68",1876,"Amsterdam","Noord-Holland",8,1850,"Amsterdam"
"69",1876,"Enschede","Overijssel",1,1850,"Almelo"
"70",1876,"Ham, Den","Overijssel",1,1850,NA
"71",1876,"Haskerland","Friesland",1,1850,"Sneek"
"72",1876,"Krommenie","Noord-Holland",1,1850,"Alkmaar"
"73",1876,"Leiden","Zuid-Holland",1,1850,"Leiden"
"74",1876,"Lienden","Gelderland",1,1850,"Amersfoort"
"75",1876,"Maastricht","Limburg",1,1850,"Maastricht"
"76",1876,"Opsterland","Friesland",3,1850,"Sneek"
"77",1876,"Reeuwijk","Zuid-Holland",1,1850,"Gouda"
"78",1876,"Rotterdam","Zuid-Holland",1,1850,"Rotterdam"
"79",1876,"Sloten","Noord-Holland",2,1850,"Sneek"
"80",1876,"Sloten","Noord-Holland",2,1850,"Haarlem"
"81",1876,"Zutphen","Gelderland",1,1850,"Zutphen"
"82",1877,"Amsterdam","Noord-Holland",3,1850,"Amsterdam"
"83",1877,"Arnhem","Gelderland",1,1850,"Arnhem"
"84",1877,"Delfshaven","Zuid-Holland",1,1850,"Delft"
"85",1878,"Amsterdam","Noord-Holland",1,1850,"Amsterdam"
"86",1878,"Arnhem","Gelderland",1,1850,"Arnhem"
"87",1878,"Deventer","Overijssel",1,1850,"Deventer"
"88",1879,"Deventer","Overijssel",1,1850,"Deventer"
"89",1879,"Leerdam","Zuid-Holland",1,1850,"Gorinchem"
"90",1879,"Sloten","Noord-Holland",1,1850,"Sneek"
"91",1879,"Sloten","Noord-Holland",1,1850,"Haarlem"
"92",1880,"Bergen op Zoom","Noord-Brabant",1,1850,"Breda"
"93",1880,"Den Haag","Zuid-Holland",2,1850,"Den Haag"
"94",1880,"Deventer","Overijssel",1,1850,"Deventer"
"95",1880,"Eindhoven","Noord-Brabant",1,1850,"Eindhoven"
"96",1880,"Hoorn","Noord-Holland",1,1850,"Hoorn"
"97",1880,"Kampen","Overijssel",1,1850,"Zwolle"
"98",1880,"Leiden","Zuid-Holland",1,1850,"Leiden"
"99",1880,"Liempde","Noord-Brabant",1,1850,"Den Bosch"
"100",1880,"Norg","Drenthe",1,1850,"Assen"
"101",1880,"Opsterland","Friesland",1,1850,"Sneek"
"102",1880,"Sloten","Noord-Holland",1,1850,"Sneek"
"103",1880,"Sloten","Noord-Holland",1,1850,"Haarlem"
"104",1880,"Wonseradeel","Friesland",1,1850,"Leeuwarden"
"105",1881,"Den Haag","Zuid-Holland",1,1850,"Den Haag"
"106",1881,"Lemsterland","Friesland",1,1850,"Sneek"
"107",1881,"Zwolle","Overijssel",1,1850,"Zwolle"
"108",1882,"Den Haag","Zuid-Holland",2,1850,"Den Haag"
"109",1882,"Egmond aan Zee","Noord-Holland",1,1850,"Alkmaar"
"110",1882,"Hoorn","Noord-Holland",1,1850,"Hoorn"
"111",1882,"Leiden","Zuid-Holland",6,1850,"Leiden"
"112",1882,"Noordwijk","Zuid-Holland",1,1850,"Haarlem"
"113",1882,"Odoorn","Drenthe",1,1850,"Assen"
"114",1882,"Vlagtwedde","Groningen",1,1850,"Assen"
"115",1882,"Zaandam","Noord-Holland",1,1850,"Alkmaar"
"116",1883,"Amsterdam","Noord-Holland",2,1850,"Amsterdam"
"117",1883,"Breda","Noord-Brabant",1,1850,"Breda"
"118",1883,"Den Haag","Zuid-Holland",1,1850,"Den Haag"
"119",1883,"Deventer","Overijssel",1,1850,"Deventer"
"120",1883,"Eindhoven","Noord-Brabant",1,1850,"Eindhoven"
"121",1883,"Ham, Den","Overijssel",1,1850,NA
"122",1883,"Heerenveen","Friesland",1,1850,NA
"123",1883,"Hilversum","Noord-Holland",1,1850,"Amersfoort"
"124",1883,"Lemsterland","Friesland",1,1850,"Sneek"
"125",1883,"Renkum","Gelderland",1,1850,"Arnhem"
"126",1883,"Rotterdam","Zuid-Holland",2,1850,"Rotterdam"
"127",1883,"Veenendaal","Utrecht",4,1850,"Amersfoort"
"128",1883,"Waalwijk","Noord-Brabant",1,1850,"Den Bosch"
"129",1883,"Westkapelle","Zeeland",1,1850,"Middelburg"
"130",1883,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"131",1884,"Aalsmeer","Noord-Holland",1,1850,"Leiden"
"132",1884,"Amsterdam","Noord-Holland",1,1850,"Amsterdam"
"133",1884,"Diemen","Noord-Holland",1,1850,"Amsterdam"
"134",1884,"Eindhoven","Noord-Brabant",2,1850,"Eindhoven"
"135",1884,"Leeuwarder","Friesland",3,1850,NA
"136",1884,"Maastricht","Limburg",1,1850,"Maastricht"
"137",1884,"Rotterdam","Zuid-Holland",1,1850,"Rotterdam"
"138",1884,"Schiedam","Zuid-Holland",1,1850,"Delft"
"139",1884,"Steenwijk","Overijssel",1,1850,"Steenwijk"
"140",1884,"Valkenswaard","Noord-Brabant",1,1850,"Eindhoven"
"141",1884,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"142",1884,"Winterswijk","Overijssel",1,1850,"Zutphen"
"143",1884,"Zevenaar","Gelderland",1,1850,"Nijmegen"
"144",1884,"Zevenbergen","Noord-Brabant",1,1850,"Tilburg"
"145",1885,"Amsterdam","Noord-Holland",5,1850,"Amsterdam"
"146",1885,"Den Haag","Zuid-Holland",2,1850,"Den Haag"
"147",1885,"Haskerland","Friesland",1,1850,"Sneek"
"148",1885,"Heerenveen","Friesland",1,1850,NA
"149",1885,"Herwen","Groningen",1,1850,NA
"150",1885,"Leiden","Zuid-Holland",1,1850,"Leiden"
"151",1885,"Lemsterland","Friesland",1,1850,"Sneek"
"152",1885,"Pernis","Zuid-Holland",1,1850,"Dordrecht"
"153",1885,"Roosendaal","Noord-Brabant",1,1850,"Breda"
"154",1885,"Rotterdam","Zuid-Holland",1,1850,"Rotterdam"
"155",1885,"Vught","Noord-Brabant",1,1850,"Den Bosch"
"156",1885,"Weesperkarspel","Noord-Holland",1,1850,"Amersfoort"
"157",1885,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"158",1886,"Amsterdam","Noord-Holland",3,1850,"Amsterdam"
"159",1886,"Best","Noord-Brabant",1,1850,"Eindhoven"
"160",1886,"Den Haag","Zuid-Holland",1,1850,"Den Haag"
"161",1886,"Dokkum","Friesland",1,1850,"Dokkum"
"162",1886,"Dongen","Noord-Brabant",1,1850,"Tilburg"
"163",1886,"Doniawerstal","Friesland",1,1850,"Sneek"
"164",1886,"Enschede","Overijssel",1,1850,"Almelo"
"165",1886,"Helmond","Noord-Brabant",1,1850,"Eindhoven"
"166",1886,"Hilversum","Noord-Holland",1,1850,"Amersfoort"
"167",1886,"Maastricht","Limburg",2,1850,"Maastricht"
"168",1886,"Opsterland","Friesland",1,1850,"Sneek"
"169",1886,"Scherpenzeel","Gelderland",1,1850,"Amersfoort"
"170",1886,"Tilburg","Noord-Brabant",1,1850,"Tilburg"
"171",1886,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"172",1887,"Amsterdam","Noord-Holland",1,1850,"Amsterdam"
"173",1887,"Andel","Noord-Brabant",1,1850,NA
"174",1887,"Den Bosch","Noord-Brabant",1,1850,"Den Bosch"
"175",1887,"Den Haag","Zuid-Holland",3,1850,"Den Haag"
"176",1887,"Enschede","Overijssel",1,1850,"Almelo"
"177",1887,"Heerenveen","Friesland",1,1850,NA
"178",1887,"Heteren","Gelderland",1,1850,"Arnhem"
"179",1887,"Opsterland","Friesland",2,1850,"Sneek"
"180",1887,"Rotterdam","Zuid-Holland",2,1850,"Rotterdam"
"181",1887,"Stratum","Noord-Brabant",1,1850,"Eindhoven"
"182",1887,"Tilburg","Noord-Brabant",1,1850,"Tilburg"
"183",1887,"Veenendaal","Utrecht",1,1850,"Amersfoort"
"184",1887,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"185",1888,"Almelo","Overijssel",2,1850,"Almelo"
"186",1888,"Amsterdam","Noord-Holland",1,1850,"Amsterdam"
"187",1888,"Assen","Drenthe",1,1850,"Assen"
"188",1888,"Barradeel","Friesland",1,1850,"Leeuwarden"
"189",1888,"Blankenham","Overijssel",1,1850,"Steenwijk"
"190",1888,"Blerick","Limburg",1,1850,NA
"191",1888,"Blokzijl","Overijssel",1,1850,"Steenwijk"
"192",1888,"Den Haag","Zuid-Holland",1,1850,"Den Haag"
"193",1888,"Enschede","Overijssel",1,1850,"Almelo"
"194",1888,"Goor","Overijssel",1,1850,"Almelo"
"195",1888,"Heerenveen","Friesland",4,1850,NA
"196",1888,"Helmond","Noord-Brabant",2,1850,"Eindhoven"
"197",1888,"Hoogezand-","Groningen",1,1850,NA
"198",1888,"Ooststellingwerf","Friesland",1,1850,"Steenwijk"
"199",1888,"Opsterland","Friesland",2,1850,"Sneek"
"200",1888,"Putten","Gelderland",1,1850,"Arnhem"
"201",1888,"Veendam","Groningen",1,1850,"Appingedam"
"202",1888,"Weststellingwerf","Friesland",1,1850,"Steenwijk"
"203",1889,"Amsterdam","Noord-Holland",9,1888,"Amsterdam"
"204",1889,"Apeldoorn","Gelderland",1,1888,"Apeldoorn"
"205",1889,"Beek","Limburg",1,1888,"Sittard"
"206",1889,"Borger","Drenthe",1,1888,"Emmen"
"207",1889,"Den Bosch","Noord-Brabant",2,1888,"Den Bosch"
"208",1889,"Diepenveen","Overijssel",1,1888,"Deventer"
"209",1889,"Doniawerstal","Friesland",1,1888,"Sneek"
"210",1889,"Eindhoven","Noord-Brabant",1,1888,"Eindhoven"
"211",1889,"Goor","Overijssel",1,1888,"Lochem"
"212",1889,"Haarlemmermeer","Noord-Holland",1,1888,"Haarlemmermeer"
"213",1889,"Hardenberg","Overijssel",1,1888,NA
"214",1889,"Haskerland","Friesland",2,1888,"Schoterland"
"215",1889,"Heerenveen","Friesland",2,1888,NA
"216",1889,"Helvoirt","Noord-Brabant",1,1888,"Waalwijk"
"217",1889,"Hilversum","Noord-Holland",1,1888,"Hilversum"
"218",1889,"Horst","Limburg",1,1888,"Weert"
"219",1889,"Katwijk","Zuid-Holland",1,1888,"Katwijk"
"220",1889,"Kerkrade","Limburg",1,1888,"Gulpen"
"221",1889,"Klundert","Noord-Brabant",1,1888,"Zevenbergen"
"222",1889,"Krommenie","Noord-Holland",1,1888,"Beverwijk"
"223",1889,"Leiden","Zuid-Holland",1,1888,"Leiden"
"224",1889,"Maarn","Utrecht",2,1888,"Amersfoort"
"225",1889,"Maastricht","Limburg",1,1888,"Maastricht"
"226",1889,"onbekend","Friesland",1,1888,NA
"227",1889,"Onstwedde","Groningen",1,1888,"Veendam"
"228",1889,"Ooststelli","Friesland",1,1888,NA
"229",1889,"Ooststellingwerf","Friesland",1,1888,"Wolvega"
"230",1889,"Opsterland","Friesland",1,1888,"Schoterland"
"231",1889,"Pekela","Groningen",1,1888,NA
"232",1889,"Rotterdam","Zuid-Holland",8,1888,"Rotterdam"
"233",1889,"Sappemeer","Groningen",1,1888,"Veendam"
"234",1889,"Smilde","Drenthe",1,1888,"Wolvega"
"235",1889,"Sneek","Friesland",1,1888,"Sneek"
"236",1889,"Steenwijkerwold","Overijssel",1,1888,"Steenwijk"
"237",1889,"Vlagtwedde","Groningen",1,1888,"Veendam"
"238",1889,"Weststellingwerf","Friesland",2,1888,"Wolvega"
"239",1889,"Wildervank","Groningen",1,1888,"Assen"
"240",1890,"Achtkarspelen","Friesland",1,1888,"Bergum"
"241",1890,"Amsterdam","Noord-Holland",4,1888,"Amsterdam"
"242",1890,"Asten","Noord-Brabant",1,1888,"Helmond"
"243",1890,"Avereest","Overijssel",1,1888,"Meppel"
"244",1890,"Bildt, Het","Friesland",3,1888,NA
"245",1890,"Borger","Drenthe",2,1888,"Emmen"
"246",1890,"Breda","Noord-Brabant",1,1888,"Breda"
"247",1890,"Coevorden","Drenthe",1,1888,"Emmen"
"248",1890,"Culemborg","Gelderland",1,1888,"Wijk bij Duurstede"
"249",1890,"Den Haag","Zuid-Holland",1,1888,"Den Haag"
"250",1890,"Elst","Gelderland",1,1888,"Elst"
"251",1890,"Emmen","Drenthe",4,1888,"Emmen"
"252",1890,"Enschede","Overijssel",4,1888,"Enschede"
"253",1890,"Finsterwolde","Groningen",1,1888,"Winschoten"
"254",1890,"Groningen","Groningen",2,1888,"Groningen"
"255",1890,"Haaften","Gelderland",1,1888,"Tiel"
"256",1890,"Haskerland","Friesland",1,1888,"Schoterland"
"257",1890,"Heerenveen","Friesland",4,1888,NA
"258",1890,"Helmond","Noord-Brabant",1,1888,"Helmond"
"259",1890,"Hoogeveen","Drenthe",1,1888,"Meppel"
"260",1890,"Lith","Noord-Brabant",1,1888,"Grave"
"261",1890,"Maastricht","Limburg",1,1888,"Maastricht"
"262",1890,"Midwolda","Groningen",1,1888,"Winschoten"
"263",1890,"Nijmegen","Gelderland",1,1888,"Nijmegen"
"264",1890,"Odoorn","Drenthe",4,1888,"Emmen"
"265",1890,"Onstwedde","Groningen",1,1888,"Veendam"
"266",1890,"Oosterhesselen","Drenthe",1,1888,"Emmen"
"267",1890,"Ooststellingwerf","Friesland",1,1888,"Wolvega"
"268",1890,"Opsterland","Friesland",2,1888,"Schoterland"
"269",1890,"Oss","Noord-Brabant",1,1888,"Grave"
